"DATE","Name","Location","Details"
"1993-11-19","Pierre","Czech Republic","Development work"
"1993-11-19","Nasia","Brazil","Workshop"
"2000-12-28","Nan","Slovenia","Admin"
"1991-05-21","Reynold","Grenada","Documentation"
"1993-11-19","Bahari","Gambia","Admin"
"1991-05-21","Fletcher","Estonia","Testing"
"1993-11-19","Xandy","Nigeria","Phone Hookup"
"2019-06-30","Howe","Balkans","Documentation"
"2007-09-18","Zilli","Niger","Documentation"
"2007-09-18","Verne","Falkland Islands","Admin"
"1991-05-21","Nerina","Nauru","Development work"
"1986-07-03","Uriel","Moldova","Admin"
"2019-06-30","Korene","Cape Verde","Phone Hookup"
"2019-11-26","Davis","Faeroe Islands","Documentation"
"2013-10-15","Kieran","Scandinavia","Sales Meeting"